Ref;Qnty;Value;Cmp name;Footprint;Description;Vendor
C1, C2, C4, C9, ;4;0.1uF;C_Small;Capacitor_SMD:C_0402_1005Metric;Unpolarized capacitor, small symbol;
C3, ;1;10u;C_Small;Capacitor_SMD:C_0805_2012Metric;Unpolarized capacitor, small symbol;
C5, ;1;10uF;C_Small;Capacitor_SMD:C_0805_2012Metric;Unpolarized capacitor, small symbol;
C6, ;1;1uF;C_Small;Capacitor_SMD:C_0805_2012Metric;Unpolarized capacitor, small symbol;
C7, ;1;4.7uF;C_Small;Capacitor_SMD:C_0805_2012Metric;Unpolarized capacitor, small symbol;
C8, ;1;0.1u;C_Small;Capacitor_SMD:C_0402_1005Metric;Unpolarized capacitor, small symbol;
C10, C11, ;2;na - 1uF;C_Small;Capacitor_SMD:C_0402_1005Metric;Unpolarized capacitor, small symbol;
D1, D2, ;2;7V;D_TVS;Diode_SMD:D_0402_1005Metric;Bidirectional transient-voltage-suppression diode;
D3, D4, ;2;LED;LED;Diode_SMD:D_0402_1005Metric_Pad0.77x0.64mm_HandSolder;Light emitting diode;
IC1, IC2, IC3, IC6, ;4;LM393LVQDRQ1;LM393LVQDRQ1;BSPD_07:SOIC127P600X175-8N;Analog Comparators Automotive low-voltage commodity comparator 8-SOIC -40 to 125;
IC4, ;1;LDO40LPU50RY;LDO40LPU50RY;BSPD_07:SON95P300X300X90-7N-D;LDO Voltage Regulators 400 mA, 38 V low-dropout regulator;
IC5, ;1;74LVC1G02GW-Q100H;74LVC1G02GW-Q100H;BSPD_07:SOT65P212X110-5N;Single 2-input NOR gate@en-us;
Q1, ;1;RSQ025P03HZGTR;RSQ025P03HZGTR;BSPD_07:SOT95P280X100-6N;Pch -30V -2.5A Small Signal MOSFET;
Q2, Q3, ;2;RJU002N06FRAT106;RJU002N06FRAT106;BSPD_07:SOT65P210X100-3N;!!! U MARCINA!!!! ROHM - RJU002N06FRAT106 - MOSFET, AEC-Q101, N-CH, 60V, 0.2A, UMT3;
Q4, ;1;AO3401A;AO3401A;Package_TO_SOT_SMD:SOT-23;-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23;
R1, R2, R11, ;3;100k;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R3, R5, ;2;6,33;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R4, R6, R9, R10, R17, R18, R19, R26, R30, ;9;10k;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R7, R8, ;2;200k;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R12, R13, R25, ;3;39k;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R14, ;1;5;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R15, R20, ;2;560k;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R16, R28, ;2;100;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R21, ;1;3R9/4R0;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R22, ;1;1k;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R23, ;1;152;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R24, ;1;145;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R27, R29, ;2;200;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
R31, R32, ;2;na - 1.2k;R_Small;Resistor_SMD:R_0402_1005Metric;Resistor, small symbol;
RV1, RV2, ;2;20k;R_Potentiometer_Small;BSPD_07:POT-3296X1223LF;Potentiometer;
U2, ;1;TLP175A / COMUS AB38-Q;TLP175A;Package_SO:MFSOP6-4_4.4x3.6mm_P1.27mm;MOSFET Photorelay 1-Form-A, Voff 60V, Ion 100mA, SOP6;
;;;;;;
